"id","name","level","child_of","icon_path","require_measurements","created_at","updated_at"
"1","Fashion","1",NULL,"svgexport-1","Y",NULL,NULL
"2","Personal Care","1",NULL,"svgexport-2","N",NULL,NULL
"3","Beauty","1",NULL,"svgexport-3","N",NULL,NULL
"4","Décor & Furniture","1",NULL,"svgexport-4","N",NULL,NULL
"5","Education","1",NULL,"svgexport-5","N",NULL,NULL
"6","Travel","1",NULL,"svgexport-6","N",NULL,NULL
"7","Art & Media","1",NULL,"svgexport-7","N",NULL,NULL
"8","Sports & Outdoor Activities","1",NULL,"svgexport-8","N",NULL,NULL
"9","Gaming & Toys","1",NULL,"svgexport-9","N",NULL,NULL
"10","Food & Beverage","1",NULL,"svgexport-10","N",NULL,NULL
"11","Entertainment","1",NULL,"svgexport-11","N",NULL,NULL
"12","Electronics","1",NULL,"svgexport-12","N",NULL,NULL
"13","Auto/Boat/Plane","1",NULL,"svgexport-13","N",NULL,NULL
"14","Books/Reading","1",NULL,"svgexport-14","N",NULL,NULL
"15","Financial Services","1",NULL,"svgexport-15","N",NULL,NULL
"16","Real Estate","1",NULL,"svgexport-16","N",NULL,NULL
"17","Software","1",NULL,"svgexport-17","N",NULL,NULL
"18","Pets","1",NULL,"svgexport-18","N",NULL,NULL
"19","Mens","2","1",NULL,"Y",NULL,NULL
"20","Womens","2","1",NULL,"Y",NULL,NULL
"21","Maternity","2","1",NULL,"Y",NULL,NULL
"22","Accessories","2","1",NULL,"Y",NULL,NULL
"23","Footware","2","1",NULL,"Y",NULL,NULL
"24","Jewelry","2","1",NULL,"Y",NULL,NULL
"25","Baby/Infant","2","1",NULL,"Y",NULL,NULL
"26","Lingerie","2","1",NULL,"Y",NULL,NULL
"27","Plus-size","2","1",NULL,"Y",NULL,NULL
"28","Athletic","2","1",NULL,"Y",NULL,NULL
"29","Big and Tall","2","1",NULL,"Y",NULL,NULL
"30","Costumes","2","1",NULL,"Y",NULL,NULL
"31","Parfumes","2","3",NULL,"N",NULL,NULL
"32","Cosmetics","2","3",NULL,"N",NULL,NULL
"33","Make up","2","3",NULL,"N",NULL,NULL
"34","Vacation Travel","2","6",NULL,"N",NULL,NULL
"35","Luggage","2","6",NULL,"N",NULL,NULL
"36","Accessories","2","6",NULL,"N",NULL,NULL
"37","Tours","2","6",NULL,"N",NULL,NULL
"38","Airline companies","2","6",NULL,"N",NULL,NULL
"39","Luxury Hotels","2","6",NULL,"N",NULL,NULL
"40","Hotels","2","6",NULL,"N",NULL,NULL
"41","Bed & Breakfast","2","6",NULL,"N",NULL,NULL
"42","Art","2","7",NULL,"N",NULL,NULL
"43","Photography","2","7",NULL,"N",NULL,NULL
"44","Music","2","7",NULL,"N",NULL,NULL
"45","Music Instruments","2","7",NULL,"N",NULL,NULL
"46","Art Supplies","2","7",NULL,"N",NULL,NULL
"47","Painting","2","7",NULL,"N",NULL,NULL
"48","Posters/Prints","2","7",NULL,"N",NULL,NULL
"49","Theatre","2","7",NULL,"N",NULL,NULL
"50","Performance","2","7",NULL,"N",NULL,NULL
"51","Dance","2","7",NULL,"N",NULL,NULL
"52","Accessories","2","8",NULL,"N",NULL,NULL
"53","Auto","2","8",NULL,"N",NULL,NULL
"54","Outdoors/Camping","2","8",NULL,"N",NULL,NULL
"55","Parlor/Backyard Games","2","8",NULL,"N",NULL,NULL
"56","Baseball/Softball","2","8",NULL,"N",NULL,NULL
